#separator:tab,
#html:true,
merkwürdig,"Etrange, connotation neutre/etonnant"
"sich begeben - begibt sich, begab sich, hat sich begeben",se rendre (à)
"entgegen/kommen - (o), a, o (+D)",1. venir à la rencontre (de)<br>2. satisfaire (qn)
"betreten - (i), a, e (+A oblig.)",1. entrer (dans)&nbsp;<br>2. fouler
"geraten - gerät, geriet, ist geraten (in+A)","parvenir fortuitement, tomber (dans)"
gelangen,parvenir
stürzen,"tomber (violemment), précipiter"
"der Sturz, /",la chute
sich bücken,"se baisser, se courber"
sich (nach vorn) beugen,se pencher (en avant)
(sich) lehnen (an+A),(s')appuyer (contre)
"wenden - wendet, wandte, hat gewandt",tourner
zählen&nbsp;,compter
"die Zahl, en","le nombre, le chiffre"
rechnen (mit+D),1. calculer 2. compter (sur)
"die Nummer, n",le numéro
"die Hälfte, n",la moitié
halb,"demi, mi-"
"das Drittel, -",le tiers
einenhalb / anderthalb (+Pl.)&nbsp;,un et demi
"das Paar, e","la paire, le couple"
"beide, die beiden","deux, les deux"
"zu dritt, zu viert&nbsp;","(à) 3, (à) 4"
doppelt&nbsp;,double
"der Durchschnitt, e",la moyenne
durchschnittlich,"en moyenne, moyen"
"das Dutzend, e",la douzaine
wie viel (e) ?,combien ?
nichts&nbsp;,"ne ...rien, rien"
etwas&nbsp;,1. quelque chose 2. un peu de
einzig-,"unique, seul"
"wenig, wenige",peu
"ein bisschen (etwas, ein wenig)",un peu de
einige (ein paar),quelques
mehrere,plusieurs
"viel, viele",beaucoup (de)
mehr (als),"plus, d'avantage (que)"
zahlreich,nombreux
alles&nbsp;,tout
alle,"tous les, tous"
völlig,"plein, entier, total"
vollständig (un-),complet
ganz,"tout, entier, tout à fait"
genügen,suffire
genügend (un-),suffisant
genug (nicht egal ziemlich),"assez, suffisamment (pas égal à passablement)"
ziemlich (nicht egal zu genug),"passablement, assez (pas égal à suffisamment)"
reichen,suffire
fast (beinahe),presque
1. nur<br>2. bloß,"1. ne ..que, seulement 2. mais"
kaum,"à peine, ne... guère"
fehlen (an+D),manquer (de)
-los,suffixe privatif
ergänzen&nbsp;,compléter
auch,aussi
zu (+Adj. od. Adverb),trop
"zu viel, zu viele",trop (de)
übrig,"restant, de reste"
"übrig/bleiben - bleibt übrig, blieb übrig, ist übriggeblieben","rester, être de reste"
"der Rest, e",le reste
noch,encore
genau (un-),"exact, précis"
"ungefähr, etwas, circa, [ca.]","approximativement, environ"
schätzen (auf+A),"estimer (à), apprécier"
teilen (in+A),"diviser, partager (en)"
"der (das) Teil, e","la partie, la part"
verteilen (an+A),"répartir, distribuer (à qn)"
"wenigstens, mindestens, zumindest&nbsp;",au moins
höchstens,tout au plus
sehr&nbsp;,"très, beaucoup (intensité)"
vor allem,"avant tout, surtout"
einzeln,"isolé, séparé"
"das Element, e",l'élément
vermehren,"augmenter, multiplier"
"der Haufen, -",le tas
unzählige,(d') innombrables
endlich (un-),"fini, limité"
gesamt&nbsp;,"tout, entier, global"
"die Gesamtheit, /",la totalité
insgesamt,"en tout, au total"
knapp,tout juste suffisant
zusätzlich,supplémentaire
"das Exemplar, e",l'exemplaire
"übersteigen - übersteigt, überstieg, hat überstiegen",dépasser
überflüssig,superflu
"weg/lassen - lässt weg, ließ weg, hat weggelassen","omettre, laisser de côté"
"der Grad, e",le degré
äußerst&nbsp;,extrêmement
durchaus,"tout à fait, absolument"
aber&nbsp;,mais (adversatif)
entweder ... oder,"ou (bien) .. ou (bien), soit ... soit"
nicht nur ... sondern auch,non seulement ... mais encore
oder,ou (bien)
sondern,mais (au contraire)
sowie&nbsp;,ainsi que
sowohl ... als / wie (auch),aussi bien ... que
"trotzdem, doch, dennoch","malgré cela, néanmoins, quand même"
und,et
weder ... noch,ni ... ni
als (nicht egal&nbsp;<b>wenn</b>),lorsque (fait unique dans le passé)
"als ob, als wenn, wie wenn",comme si (+ Konjunktiv)
(an)statt zu,au lieu de
"auch wenn, selbst wenn, sogar wenn",même si
bevor (ehe),avant que (avant de)
bis,jusqu'à ce que&nbsp;
damit (nicht egal zu&nbsp;<b>um ... zu</b>),"afin que, pour que (sujet de la phrase différent)"
dass,que
falls,au cas où&nbsp;
indem,"en (+participe présent), par le fait que"
(in)sofern,"dans la mesure où, pour autant que"
inwiefern,dans quelle mesure (1. subordonnant 2. interrogatif)
je ... desto,"plus (+comparatif) ... plus (+comparatif)<br>Ex. Je mehr du erklärst, desto besser verstehe ich."
nachdem,après que (après + infinitif passé)
ob,si (interrogation indirecte)
"obwohl, obgleich, obschon","bien que, quoique"
ohne dass,sans que
ohne ... zu,sans (+infinitif)
"seit, seitdem",depuis que
sodass,"de sorte que, si bien que"
"so ..., dass",si ... que
sobald,"dès que, aussitôt que&nbsp;"
solange,"aussi longtemps que, tant que"
"sooft, jedes Mal, wenn","chaque fois que, toute les fois que"
soviel,autant que
um ... zu,pour (+infinitf)
während (+G),"pendant que, tandis que"
weil,parce que
wenn,"si (supposition, hypothèse)"
wenn (nicht egal zu&nbsp;<b>als</b>),"quand, lorsque"
durch,"à travers, par"
für,pour
gegen,1. contre 2. vers (temporel)
ohne,sans
um,1. autour de 2. à (heures)
aus&nbsp;,"1. en (matière)<br>2. hors de, de (idée de sortie, d'origine)"
außer,"excepté, sauf"
bei,"1. près de, auprès de, chez (personne)<br>2. lorsd de&nbsp;"
dank,grâce à
gegenüber&nbsp;,"en face de, vis à vis de"
mit,avec
nach,"1. après&nbsp;<br>2. d'après, selon<br>3. à, en (direction)"
seit,depuis
von,de (provenance)
zu,"à, chez"
an (+A or +D),"à, près de, contre"
auf (+A or +D),sur
"entlang (postposition +A, préposition +D)",le long de
hinter (+A od. +D),derrière
in (+A od. +D),"dans, en"
mitten in (+A or +D),"au milieu de, au centre de"
neben (+A or +D),à côté
über (+A or +D),"1. au dessus de, par dessus<br>2. par (passage)"
unter (+A or +D),"1. sous, au dessous de&nbsp;<br>2. parmi"
vor (+A or +D),1. avant 2. devant 3. il y a (temporel)&nbsp;
zwischen (+A or +D),entre
"(an) statt, anstelle, an stelle (+G)","au lieu de, à la place de"
aufgrund (+G),en raison de
außerhalb (+G),"en dehors de, à l'extérieur de"
diesseits&nbsp;,"en deçà de, de ce côté de"
innerhalb (+G),à l'intérieur de&nbsp;
jenseits (+G),"au delà de, de l'autre côté de"
oberhalb (+G),au-dessus de&nbsp;
trotz (+G),malgré
unterhalb (+G),au-dessous de
"die Ansage, n","l'annonce, le communiqué"
an/sagen,annoncer
"der Ansager, - / die -in","le, la speaker-in"
"der Empfang, /","l'audition, la réception"
"die Glotze, n","le petit écran, la télé"
"der Kommentator, en / die -in","le, la commentateur / -trice"
"übertragen - (ä), u, a","transmettre, diffuser"
"die Presseagentur, en",l'agence de presse
"die Illustrerte, n",l'illustré
"das Magazin, e",le magazine
"die Auflage, n",le tirage
"der Leitartikel, -",l'éditorial
"die Schlagzeile, n","la manchette, le grand titre"
"die Spalte, n",la colonne
"die Manipulation, en","la manipulation, la machination"
manipulieren&nbsp;,manipuler
"wiederrugen - (u), ie, u / dementieren",démentir
richtig/stellen,"rectifier, mettre au point, rétablir"
"die Beilage, n",le supplément
"das Feuilleton, s","la chronique littéraire, le magazine culturel"
"der Wirtschaftsteil, e",la rubrique économique
"das Stellengesuch, e",la demande d'emploi
"das Stellenangebot, e",l'offre d'emploi
Vermischtes&nbsp;<br>Das Vermischte,le fait divers
"die Zensur, -",la censure
"das Faktum, die Fakten",le fait
entstellen,déformer
"der Korrespondent, en, en / die -in","le, la correspondant-e"
"der Verleger, - / die -in",l'éditeur / -trice
verlegen,éditer
ab/schrecken,"intimider, effaroucher"
"das Gegenargument, e","l'argument, contraire"
"die Debatte, n",le débat
"die Diskussion, ne",la discussion
"ein/greigen - (ei) griff, gegriffen (in+A)",intervenir (dans)
"der Eingriff,e&nbsp;",l'intervention
"die Äußerung, en","le propos, la déclaration"
"der Gesprächsstoff, e",le sujet de la conversation
"der Konsens, e",le consensus
kontaktfreudig,sociable
"der Leitfaden, /",le fil conducteur
stichhaltig,"solide, probant, valable"
"die Streitfrage, n",la question litigieuse
strittig,litigieux
unbestritten,incontesté
"die Übereinstimmung, en",1. l'accord 2. l'harmonie
überreden&nbsp;,persuader
sich verständigen,se concerter
zu/stimmen (+D),"acquiescer, approuver"
tippen,taper (clavier)
"die Akte, n","le dossier, le document"
"das Aktenzeichen, -","le numéro de référence, le numéro de dossier"
"die Postleitzahl, en","le code postal, le NPA"
"der Einschreibebrief, e",la lettre recommandée
"der Eilbrief, e",la lettre express
"die Drucksache, n",l'imprimé
"der Briefkopf, die Briefköpfe",l'en-tête
"der Briefwechsel, -",la correspondance
"Bescheid geben, i, a, e (+D)","informer (qn), rendre réponse (à)"
"die Beilage, n<br>die Anlage, n",l'annexe
"die Unterlage, n",le document
postlagernd,poste restante
mit Luftpost,(transport de courrier) par avion
umgehend,"par retour du courrier, immédiat"
"die Empfangsbestätigung, en",l'accusé de réception
ab/bestellen&nbsp;<br>annulieren,"décommander, annuler (commande)"
zahlbar,payable
ermäßigen,baisser (prix) (tr.)
"die Preisermäßigung, en",le rabais
erhöhen,augmenter (prix) (tr.)
"der (das) Skonto, Skonti",l'escompte
die Zahlungsbedingungen (pl.),les conditions de payement
gegen Nachnahme,contre remboursement
"der Einzahlungsschein, e",le bulletin de versement
(an)mahnen,"rappeler, sommer, mettre en demeure"
"die Mahnung, en","&nbsp;l'avertissement, la sommation, le rappel"
zur Ansicht,à l'examen
"das Gegenanbot, e",la contre-proposition
"die Preisliste, n","le prix-courant, le tarif"
"die Verpackung, en",l'emballage
"das Lager, -",le dépôt
vor/bestellen,préréserver
"der Versand, /",l'expédition
"der Lieferant, en, en",le fournisser
"der Verzug, /",le retard
reklamieren,réclamer (adresser une réclamation)
reklamieren&nbsp;,réclamer (adresser une réclamation)
"die Reklamation, en",la réclamation
beanstanden,contester
faxen,faxer
"das Fotokopierer, -",la photocopieuse
"das Postfach, die Postfächer",la case postale
"der Betriebsleiter, - / die -in<br>der Geschäftsleiter, - / die - in",le directeur / -trice d'une entreprise<br>gérant
"die Kundschaft, /",la clientèle
"der Terminal, s",le terminal
"der Zentralcomputer, -",l'ordinateur central
"der Drucker, -",l'imprimante
"der Monitor, e",le moniteur
"der Mauszeiger, -",le curseur (sur l'ordi)
klicken,cliquer
"der Cursor, en",le curseur
"das Byte, s",l'octet
"das Bild, er&nbsp;<br>die Kione, n",l'icône
"ein/geben - (i), a, e",saisir
"die Eingabe, n",la saisie
die Elektronische Datenverarbeitung<br>die EDV,l'informatique
"das Dialogfeld, er",la zone de dialogue
"ein Fenster verschieben - (ie), o, o",déplacer une fenêtre
"das Menu, s",le menu
"die Option, en",l'option
"die Programmierung, en",la programmation
"der Ordner, /",le dossier
die Textverarbeitung,le traitement de texte
Afrika,l'afrique
Amerika,l'amérique
Nordamerika / Südamerika,"l'amérique du Nord, Sud"
die Vereinigen Staaten,les états unis
Asien,l'asie
Europa,l'europe
Ozeanien,l'océanie
Australien,l'australie
afrikanisch,africain
amerikanisch,américain
nordamerikanisch,nord-américain
asiatisch,asiatique
europäisch,européen
ozeanisch,océanique
australisch,australien
"der Australier, -",l'australien
Albanien,l'albanie
Andorra,Andore
Belgien,la belgique
Bosnien,la bosnie
Bulgarien,la bulgarie
Dänemark,le danemark
Deutschland,l'Allemagne
England,l'angleterre
Estland,l'Estonie
Finnland,la finlande
Frankreich,la france
Griechenland,la grèce
Großbritannien,la grande-bretagne
Holland,la hollande
Irland,l'irlande
Island,l'islande
Italien,l'italie
Jugoslawien,la jugoslawie
Kosovo,le kosovo
Kroatien,la croatie
Lettland,la lettonie
Liechtenstein,le lichtenschtein
Littauen,la lithuanie
Luxemburg&nbsp;,le Luxemburg
Malta,malte
Mazedonien,la macédoine
Moldavien,la moldavie
Monaco,Monaco
die Niederlande,les pays bas
Norwegen,la Norvège
Österreich,l'autriche
Polen,la pologne
Portugal,le portugal
Rumänien,la roumanie
Russland,la Russie
Schweden,la Suède
Schottland,L'Écosse
die Schweiz,la Suisse
Serbien,la serbie
Slowakei,la Slovakie
Slowenien,la slovénie
Spanien,l'Espagne
Tschechien,la tchéchénie
Ukraine,l'ukraine
Ungarn,La hongrie
die Vatikanstadt,le Vatican
Weißrussland,la Biélorussie
die deutsche Schweiz,la suisse alémanique
das Schweizerdeutsch,le suisse alémanique (langue)
"der Deutschschweizer, -",le suisse alémanique (habitant)
die Westschweiz,la Suisse romande
"der Westschweizer, -",le Suisse romand (habitant)
die Italienische Schweiz&nbsp;,la Suisse italienne
die rätoromanische Schweiz&nbsp;,la Suisse rhéto-romanche
"der Kanton, e",le canton
geistlich,"spirituel, religieux"
dichten,"écrire, faire des vers"
"ersinnen - (i),a ,o","imaginer, inventer"
"ertwerfen - (i), a, o","esquisser, ébaucher"
"das Volkslied, er","la chanson, la poésie populaire"
"das Heldengedicht, e","le poème épique, l'épopée"
"die Prosadichtung, en",le poème en prose
"die Kurzgeschichte, n","l'histoire courte, le récit"
"die Verslehre, /&nbsp;<br>die Metrik, /",la métrique
"der Versbau, /",la versification
"die Hebung, en","la syllabe accentuée, la syllabe tonique"
"die Senkung, en",la syllabe atone
verfassen&nbsp;,"composer, rédiger"
zusammen/stellen,"assembler, combiner, monter"
"das Klischee, s","le cliché, la banalité"
"der Leitgedanke, ns, n",l'idée directrice
unvermittelt,sans transition
an/deuten,"suggérer, indiquer"
"das Tagebuch, die Tagebücher",le journal (intime)
"sich ab/wenden (e), a, a (von+D)",se détourner (de)
"besingen - (i), a, u",chanter (tr.)
"hervor/heben - (e), o, o (+A)","mettre en évidence, donner du relief"
(sich) reimen (auf+A),rimer (avec)
verherrlichen,glorifier
packend,poignant
dem Inhalt nach,pour le fond
in Einklang bringen,harmoniser
"der Kunstgriff, e",l'artifice
bildlich,"figuré, métaphorique"
bilderreich,imagé
"die Anspielung, en (auf+A)",l'allusion (à)
"das Kabarett, s",le cabaret
"der Auftritt, e",1. l'entrée en scène&nbsp;<br>2. la scène
"auf/treten - (itt), a ,e",1. entrer en scène&nbsp;<br>2. se produire
bearbeiten,"adapter, arranger, remanier"
"das Bühnenbild, er",le décor
"das Ensemble, s",la troupe (de théatre)
inszenieren,mettre en scène
"die Inszenierung, en",la mise en scène
"der Regisseur, e / die -in","le, la metteur / -euse en scène"
"der Statist, en, en / die -in",le figurant
"das Lampenfieber, /",le trac (Ex. avoir le trac)
"die Verwicklung, en&nbsp;",l'intrigue
"das Aquarell, e",l'aquarelle
fälschen,"contrefaire, falsifier"
"die Fälschung, en","1. le faux, la contrefaçon<br>2. la falsification"
"die Graphik, en",l'oeuvre graphique
"der Holzschnitt, e",la gravure sur bois
illustrieren,illustrer
karikieren,caricaturer
"die Karikatur, en",la caricature
"der Stich, e",l'estampe
"das Plgemälde, -",la peinture à l'huile
"die Radierung, en",l'eau-forte
restaurieren,restaurer
rahmen<br>ein/rahmen,encadrer
"die Studie, n",l'étude
"der Kunstliebhaber, - / die -in",l'amateur d'art
"der Impressionismus, /",l'impressionisme
"der Expressionismus, /",l'expressionisme
antik,ancien
"die Architectur, en",l'architecture
"das Denkmal, die Denkmäler",le monument
"das Elfenbein, /",l'ivoire
"hauen - haut, hieb, hat gehauen",sculpter
modellieren&nbsp;,modeler
"die Kathedrale, n",la cathédrale
"das Gewölbe, -",la voûte
"der Grundriss, e",le plan (architectural)
"das Kirchenfenster, -",le vitrail
"das Pfeiler, -",le pilier
"das Relief, s",le relief
plastisch,plastique
schnitzen&nbsp;,sculpter sur bois
arrangieren,"arranger, adapter"
komponieren,composer
"die Komposition, en",la composition
merhstimmig,à plusieurs vois
aus dem Stegreif,"à l'improviste, à pied levé"
summen,fredonner
"die Tonleiter, n",la gamme
vertonen,mettre en musique
musizieren,faire de la musique
"der Verstärker, -",l'amplificateur
harmonisch,harmonieux
"die Harmonie, -",l'harmonie
"der Erzähle, die -in",le narrateur
erzählerisch,narratif
"die Gliederung, en","l'articulation, la structure"
gliedern,"articuler, structurer"
"die Anmerkung, en","la remarque, l'observation"
"erscheinen - (ei), ie, ie",paraître
"die Rahmenerzählung, en",le récit-cadre
schöpferisch,"cëéateur, créatif, productif"
"auf/werfen - (i), a, o",soulever
"die Schilderung, en","la description, l'évocation"
"die Einleitung, en","l'introduction, le préambule"
"der Abschluss, die Abschlüsse",la conclusion
"der Handlungsverlauf, die Handlugnsverläufe",le fil de l'action
"dsa Geschehen, /","l'action, le fait, l'événement"
"das Geschehen, /","l'action, le fait, l'événement"
vorhergehend,précédent
"der Übergang, e","la transition, le passage"
"die Steigerung, en","l'augmentation, la gradation"
"der Höhepunkt, e","l'apogée, le paroxysme"
gipfeln (in+D),"atteindre son sommet, culminer (dans)"
"der Wendepunkt, e",le tournant
"die Ausdrucksform, en",la forme d'expression
"das Selbstgespräch, e",le monologue
"der innere Monolog, e",le monologue intérieur
"die erlebte Rede, n",le style indirect libre
die direkte Rede,le discours directe
"die Metapher, n",la métaphore
bildhaft,"imagé, figuré, métaphorique"
anschaulich,"expressif, évident"
veranschaulichen,"illustrer, rendre évident"
eindringlich,"pénétrant, percutant"
geistreich,"spirituel, plein d'esprit"
"auf/heben - e, o, o","supprimer, annuler, lever"
"die Parallele, n",le parallèle
charackterisieren,caractériser&nbsp;<br>PS : celui ci est celui qui est évident
"hervor/gehen -- (e), i, a (aus+D)","ressortir, résulter (de)"
die These n,la thèse
spiegeln&nbsp;,refléter
vor/herrschen,"dominer, prévaloir"
"der Ausweg, e",l'issue
zeitlos,intemporel
"die Stellungnahme, n",la prise de position
"Stellung nehmen - (i), a, o",prendre position
belegen,"justifier, appuyer, attester"
"der Schwerpunkt, e","le point essentiel, l'accent principal"
"die Geistesverfassung,en",l'état d'esprit
"der Seelenzustand, die Seelenzustände",l'état d'âme
